item_id,strategy_name,primary_url,author,source_hash,lineage_id,lineage_representative_item_id,lineage_size,nearest_item_id,relation,source_similarity,core_function_similarity,shared_post,shared_author
2020年度精选策略/11 酒股地中短线策略.txt,酒股地中短线策略,https://www.joinquant.com/post/14594,可爱的阿飞,8aba657e6ab97d588aeb58f94f7bbf0ff0049475ce69b4a44909e9f8e2d18e52,L-9c322f8fd5,2020年度精选策略/11 酒股地中短线策略.txt,2,2020年度精选策略/14 抗击熊市的中短期低市值策略.txt,probable-variant,0.761733,0.333333,false,true
2020年度精选策略/12 【均值回归】基于zscore的均值回归策略（胜率100%）.txt,【均值回归】基于zscore的均值回归策略（胜率100%）,https://www.joinquant.com/post/13673,Rookie888,f80bee128cb5d78e0125eb333f787d0736453b5a87f3bae3a90995df2bb618b2,L-4743db5f7f,2020年度精选策略/12 【均值回归】基于zscore的均值回归策略（胜率100%）.txt,1,2020年度精选策略/18 均值回归策略分享.txt,independent,0.248908,0.0,false,false
2020年度精选策略/13 招行_海天配对策略-改进版.txt,招行_海天配对策略-改进版,https://www.joinquant.com/post/11751,翼、轸,10742748d7e97b3877f23c65f9e391172e56c874731c28af9a47cc0656570fff,L-bb8d73f985,2020年度精选策略/13 招行_海天配对策略-改进版.txt,2,2020年度精选策略/55 中小板-中证500配对交易.txt,near-duplicate,1.0,1.0,false,true
2020年度精选策略/14 抗击熊市的中短期低市值策略.txt,抗击熊市的中短期低市值策略,https://www.joinquant.com/post/14603,可爱的阿飞,b4bec242ec88f4631a215a20785a30128d086aaaeb2b9f47d25b18af90a50e25,L-9c322f8fd5,2020年度精选策略/11 酒股地中短线策略.txt,2,2020年度精选策略/11 酒股地中短线策略.txt,probable-variant,0.761733,0.333333,false,true
2020年度精选策略/15 基于多期限的选股策略（一）.txt,基于多期限的选股策略（一）,https://www.joinquant.com/post/12916,孤傲同学,7fdf912db1f0775ac2f446aa7218c96d184358ad236fd65f199f16dac990f7e1,L-95e1386b06,2020年度精选策略/15 基于多期限的选股策略（一）.txt,1,2020年度精选策略/92 多因子选股策略.txt,independent,0.107115,0.086957,false,false
2020年度精选策略/16 投资学作业.txt,投资学作业,https://www.joinquant.com/post/13972,hhhhh455,8d7bb183d788a237a29d4ec8c976b78f695d573a997871fd62cafae47e8b8733,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/94 PE和PB策略.txt,near-duplicate,0.943112,0.793103,false,false
2020年度精选策略/17 商品期货截面动量模型，真的靠谱吗？.txt,商品期货截面动量模型，真的靠谱吗？,https://www.joinquant.com/post/15815,cicikml,82c5d908721ebdc95f431be721d835e3a19ce0ccd3f67df6015f349cc4e8bce3,L-91e3e2fd38,2020年度精选策略/17 商品期货截面动量模型，真的靠谱吗？.txt,1,2020年度精选策略/04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt,independent,0.62483,0.5,false,true
2020年度精选策略/18 均值回归策略分享.txt,均值回归策略分享,https://www.joinquant.com/post/13706,JimStein,4d54f7ea948bc069c9226f6507167a84dbc6e5db3b11ec75d8d9006e0915c808,L-69beb110c9,2020年度精选策略/18 均值回归策略分享.txt,1,2020年度精选策略/12 【均值回归】基于zscore的均值回归策略（胜率100%）.txt,independent,0.248908,0.0,false,false
2020年度精选策略/19 招行_海天配对策略（学习招行伊利配对）.txt,招行_海天配对策略（学习招行伊利配对）,https://www.joinquant.com/post/11736,维络,7792d47393adec86c02457c8d12ec105b657e924ca162f0babae26579eb15734,L-cae03ea82c,2020年度精选策略/02 我好像破解了聚宽擂台排第一的策略？！.txt,2,2020年度精选策略/02 我好像破解了聚宽擂台排第一的策略？！.txt,near-duplicate,1.0,1.0,false,false
2020年度精选策略/20 分钟K线数据重构 ATR自适应通道 请高手来迭代.txt,分钟K线数据重构 ATR自适应通道 请高手来迭代,https://www.joinquant.com/post/16022,cicikml,60d6a5cc903dec810ef4d9c2d8750bfbd86e2a7f8654e633ba9463472977ffea,L-58c6257448,2020年度精选策略/20 分钟K线数据重构 ATR自适应通道 请高手来迭代.txt,1,2020年度精选策略/01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt,independent,0.340888,0.030303,false,true
2020年度精选策略/21 果核量化出品 -- BIAS_QL乖离率策略指数择时1.0.txt,果核量化出品 -- BIAS_QL乖离率策略指数择时1.0,https://www.joinquant.com/post/12925,Dao家子,845038f9b1970e7b53659a68190db0d8119708ae5da19f313f2f8a29ec52c3e7,L-8e91535385,2020年度精选策略/21 果核量化出品 -- BIAS_QL乖离率策略指数择时1.0.txt,1,2024年度精选策略/20.有赚就好-小市值剥头皮改进 2年3.86%回撤.txt,independent,0.060408,0.0,false,false
2020年度精选策略/22 海龟交易法则升级版---（分钟级回测+合约变更移仓）.txt,海龟交易法则升级版---（分钟级回测+合约变更移仓）,https://www.joinquant.com/post/14203,颖硕,b5f7cd66de27a72e6bad848011fb30435eefe578aee3fa9aea87801b385eaa92,L-d72c694900,2020年度精选策略/22 海龟交易法则升级版---（分钟级回测+合约变更移仓）.txt,1,2020年度精选策略/49 海龟克隆优化.txt,independent,0.109674,0.037037,false,false
2020年度精选策略/23 Principle by Jim Slater 祖鲁法则在A股的实现与改进.txt,Principle by Jim Slater 祖鲁法则在A股的实现与改进,https://www.joinquant.com/post/11619,JQ-RANGEWOLF,73e5599ae82bfe1ac0f04fea83fbb525cefb89acd72604f5f4e2843e99d10597,L-912e360936,2020年度精选策略/23 Principle by Jim Slater 祖鲁法则在A股的实现与改进.txt,1,2020年度精选策略/39 因子分析——利用JoinQuant因子分析模块选取因子并封装为策略.txt,independent,0.028428,0.0,false,true
2020年度精选策略/24 自选策略1.txt,自选策略1,https://www.joinquant.com/post/11988,壬梦,6ce579276be347039b1e6a75c9889c0059961faebc03f1e6f75898cc7c4cb40b,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/56 爱神的箭放声大哭.txt,near-duplicate,0.980057,0.892857,false,false
2020年度精选策略/25 简单市值轮动策略-学习.txt,简单市值轮动策略-学习,https://www.joinquant.com/post/15100,东南有大树,d6d1349939a16a61bfd1926ea75256b3f062345d49b119344355d84940b87c64,L-88414fefbf,2020年度精选策略/25 简单市值轮动策略-学习.txt,1,2020年度精选策略/59 小市值轮动，修改了内容，剔除了停牌股，同时PE要求为正的股票。.txt,independent,0.311429,0.0,false,false
2020年度精选策略/26 向导式-1.txt,向导式-1,https://www.joinquant.com/post/10757,Guhhhhaa,176bfac6eb20dada83e7454ee3040bd186f5a540a610a14b67ca663baec61c05,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/70 蓝筹&均线.txt,near-duplicate,0.966667,0.862069,false,false
2020年度精选策略/27 RSRS指标择时（30分钟线）.txt,RSRS指标择时（30分钟线）,https://www.joinquant.com/post/14756,风述量化,94ffa981cdba5bdb211ee7725397a5518af7a13138991bfa14c0accb9b4b29f5,L-278f935f36,2020年度精选策略/27 RSRS指标择时（30分钟线）.txt,2,2020年度精选策略/69 阻力支撑相对强度（RSRS）指标择时策略.txt,near-duplicate,0.835165,0.5,false,false
2020年度精选策略/28 收益策略.txt,收益策略,https://www.joinquant.com/post/11877,melzg,706ca49efc5f9c72c72424e2d414023d277e919e29a6597ce74839db1ca947d1,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/56 爱神的箭放声大哭.txt,near-duplicate,0.968948,0.857143,false,false
2020年度精选策略/29 KD指标量化交易策略.txt,KD指标量化交易策略,https://www.joinquant.com/post/15078,mxh,0e9d15a4a6a6c92e71523e2050bbd1b8281ec998bb2dcccfd6185fe8379a3e78,L-4734656212,2020年度精选策略/29 KD指标量化交易策略.txt,1,2020年度精选策略/45 布林带策略.txt,independent,0.283105,0.0,false,false
2020年度精选策略/30 基于LSTM模型预测股票价格走势.txt,基于LSTM模型预测股票价格走势,https://www.joinquant.com/post/14449,加菲猫,7ea8b7531618519fed91fad0528d52f5075cae07ff0bfb05169e5da8895591e7,L-9b03ae7f2c,2020年度精选策略/30 基于LSTM模型预测股票价格走势.txt,1,2020年度精选策略/66 高于MA10买入低于MA20卖出回测半年收益率20.4%.txt,independent,0.219608,0.0,false,false
2020年度精选策略/31 低PB价值投资策略分享.txt,低PB价值投资策略分享,https://www.joinquant.com/post/11549,对韭纲割,bd3d69417d0f69f57dd1ce517a321ad278ac31c12e4ad2a78b22f8816153f513,L-f9a649e4b0,2020年度精选策略/31 低PB价值投资策略分享.txt,1,2020年度精选策略/63 向导式.txt,independent,0.5246,0.222222,false,false
2020年度精选策略/32 测试策略1.txt,测试策略1,https://www.joinquant.com/post/13402,WorldLink,0677aa5f1d994b89a54a16224f5dcef9a8bfe6a79231f300bb751c5d7b3f192d,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/90 MA均线金叉买入，死叉卖出.txt,near-duplicate,0.93588,0.827586,false,false
2020年度精选策略/33 买入每个行业市值最大的股票.txt,买入每个行业市值最大的股票,https://www.joinquant.com/post/10618,w11,5d1fd53e8c36fa928b6fb303d8264211b4c0ec5693bba45fdde84cacbd48afb1,L-8778db04f4,2020年度精选策略/33 买入每个行业市值最大的股票.txt,2,2022年度精选策略/89.年化收益55.7%， 超高胜率 0.799.txt,near-duplicate,0.992732,0.0,false,false
2020年度精选策略/34 成长策略.txt,成长策略,https://www.joinquant.com/post/13090,清远杨伟强,25f3b1b98f43cdbf6a79ba14afcbb033a0be22fee54ff71edceef310f4032e32,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/61 向导式策略生成器生成的成长股精选策略.txt,near-duplicate,0.98727,0.925926,false,false
2020年度精选策略/35 投资学作业——简单多因子选股策略.txt,投资学作业——简单多因子选股策略,https://www.joinquant.com/post/13940,gongllg,42dbeaa4ae8a2c0ed460ff551f6986ac528100b574fed40385bd350ad0998b4f,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/36 投资学作业——简单多因子选股策略改进.txt,near-duplicate,0.972203,0.857143,false,true
2020年度精选策略/36 投资学作业——简单多因子选股策略改进.txt,投资学作业——简单多因子选股策略改进,https://www.joinquant.com/post/13941,gongllg,1052b7fbf02b64da05a18a6a31cd2dd75c1b8ef525595e0822a4a465874f2596,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/35 投资学作业——简单多因子选股策略.txt,near-duplicate,0.972203,0.857143,false,true
2020年度精选策略/37 个股止损.txt,个股止损,https://www.joinquant.com/post/12946,云小云,5530aa0883983adaf4c32a93babdb587d36cc89dfc7cc7cda455cd176296eec8,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/56 爱神的箭放声大哭.txt,near-duplicate,0.969936,0.821429,false,false
2020年度精选策略/38 一个简单的跟踪聪明钱策略.txt,一个简单的跟踪聪明钱策略,https://www.joinquant.com/post/11165,castiel,1555bcf7a57d3667c2b4a8c6024669aaca95faff0d02e12292adf130273474f4,L-da312b0f1c,2020年度精选策略/38 一个简单的跟踪聪明钱策略.txt,1,2025年度精选策略/29.北上资金（北向资金港资外资）因子分析与策略分享.txt,independent,0.07509,0.0,false,false
2020年度精选策略/39 因子分析——利用JoinQuant因子分析模块选取因子并封装为策略.txt,因子分析——利用JoinQuant因子分析模块选取因子并封装为策略,https://www.joinquant.com/post/11044,JQ-RANGEWOLF,485c7db455c4169fc56b9d0bdc3c2612961e0efc047a12438d0f504761bfd084,L-31bc68db0b,2020年度精选策略/39 因子分析——利用JoinQuant因子分析模块选取因子并封装为策略.txt,1,2020年度精选策略/83 沪深300ETF-1060双均线.txt,independent,0.108108,0.0,false,false
2020年度精选策略/40 kdj指标配合accer过滤.txt,kdj指标配合accer过滤,https://www.joinquant.com/post/14847,leonardo1001,78d60ad2112e17f76f3b16cabbe37e32e982e1e0812dc4388f40b16e905ab804,L-0d9f4c6fa5,2020年度精选策略/40 kdj指标配合accer过滤.txt,2,2020年度精选策略/48 再测一支.txt,near-duplicate,0.977011,0.714286,false,true
2020年度精选策略/41 多因子模型（三）-交易回测.txt,多因子模型（三）-交易回测,https://www.joinquant.com/post/14084,颖硕,ca1111a17e24882ad88de2df17cae444fadf7866348ca942bf6619b78db9f9e5,L-0505cd59a4,2020年度精选策略/41 多因子模型（三）-交易回测.txt,1,2024年度精选策略/80.【深度解析 一】经典小市值模型.txt,independent,0.121622,0.0,false,false
2020年度精选策略/42 低估值+TRIX+RSI 低回撤策略.txt,低估值+TRIX+RSI 低回撤策略,https://www.joinquant.com/post/11292,观天之道执天之行,3a94d7011265887adafc908aea5bcc3514bfc8bad2ef9f2cfc8306bca3ed31c6,L-53c25f9ad0,2020年度精选策略/42 低估值+TRIX+RSI 低回撤策略.txt,1,2022年度精选策略/83.开盘幅度决定日内方向.txt,independent,0.081127,0.0,false,false
2020年度精选策略/43 无模型评估的多因子模型.txt,无模型评估的多因子模型,https://www.joinquant.com/post/15426,菜鸟学python,7a333d17b90170d96d412054de9d1d324bfce83c17271ca4d09f83f33e70a6b6,L-fb42931d77,2020年度精选策略/03 机器学习多因子策略.txt,2,2020年度精选策略/03 机器学习多因子策略.txt,near-duplicate,1.0,1.0,false,false
2020年度精选策略/44 新手初来，写了一个价值投资策略.txt,新手初来，写了一个价值投资策略,https://www.joinquant.com/post/14694,冰若,5c2f6079692faa755a92b6010dba791060db75ae2e7d3c96434a591df4681df3,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/99 一个中信证券的向导策略.txt,near-duplicate,0.917045,0.677419,false,false
2020年度精选策略/45 布林带策略.txt,布林带策略,https://www.joinquant.com/post/13156,zimeng08,0c138309689edd4fa8e25c5a84c40f0f811c6eb5abdcd63dda12b96c0262092b,L-586d9fef1f,2020年度精选策略/45 布林带策略.txt,1,2020年度精选策略/52 布林带1.txt,independent,0.407792,0.166667,false,true
2020年度精选策略/46 Get API 新技能，研究中写策略并回测.txt,Get API 新技能，研究中写策略并回测,https://www.joinquant.com/post/14323,JoinQuant-Supercritical,372021d4b60e99987a8ea14354dee7cec6e608c19f0e9e23739a0965efdc8e38,L-bd7ec70459,2020年度精选策略/46 Get API 新技能，研究中写策略并回测.txt,1,聚宽2026年精选/91ETF-T0动量策略，年化 18%，回撤3.31%.txt,independent,0.084034,0.0,false,false
2020年度精选策略/47 次新小盘策略.txt,次新小盘策略,https://www.joinquant.com/post/12886,财源滚滚来,a4f867f972c788af42fe5777d36a806767b3e0d2b13c958166ff65b7bb160bce,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/37 个股止损.txt,near-duplicate,0.933379,0.793103,false,false
2020年度精选策略/48 再测一支.txt,再测一支,https://www.joinquant.com/post/14860,leonardo1001,a6a84137738fdf75f56383418f5eca4edd760d13736e86b77fb53abf4c11d7ff,L-0d9f4c6fa5,2020年度精选策略/40 kdj指标配合accer过滤.txt,2,2020年度精选策略/40 kdj指标配合accer过滤.txt,near-duplicate,0.977011,0.714286,false,true
2020年度精选策略/49 海龟克隆优化.txt,海龟克隆优化,https://www.joinquant.com/post/12429,sdanyu,c6e343348d08ebc002ec780a45ce9e969ef050e2e55d202f00fe4db74dcf78c2,L-4551c7394e,2020年度精选策略/49 海龟克隆优化.txt,1,2020年度精选策略/22 海龟交易法则升级版---（分钟级回测+合约变更移仓）.txt,independent,0.109674,0.037037,false,false
2020年度精选策略/50 简单配对交易.txt,简单配对交易,https://www.joinquant.com/post/14326,callen g,ef4aaf41d081bcad6005dca507e5bea761d8855f13fc74c77767af6c5ffb8070,L-8b4b6e5e1f,2020年度精选策略/50 简单配对交易.txt,1,"2024年度精选策略/58.融券做空,3年35倍多！已模拟2年半，动态跑盘收益惊人！.txt",independent,0.214575,0.125,false,false
2020年度精选策略/51 HS300--随机森林拐点识别.txt,HS300--随机森林拐点识别,https://www.joinquant.com/post/12666,跟随哔哔做量化,15007b578180e072dd230d35ea7f061b6d2c1d789f3aada325f984f171328d6a,L-d82e7bba27,2020年度精选策略/51 HS300--随机森林拐点识别.txt,1,2025年度精选策略/24.现在便宜的300就是最好的，收益惊人！【结束了】.txt,independent,0.117668,0.119048,false,false
2020年度精选策略/52 布林带1.txt,布林带1,https://www.joinquant.com/post/13162,zimeng08,fb5dd995a8e4aa26ba4289c85d9bd85c95868b05efc2a717d9c73cfaed1f834f,L-416597dab5,2020年度精选策略/52 布林带1.txt,1,2020年度精选策略/45 布林带策略.txt,independent,0.407792,0.166667,false,true
2020年度精选策略/53 小市值策略.txt,小市值策略,https://www.joinquant.com/post/13364,Abbie,98e35015609d06e38ea2192a964975b27c547dc58500cd501d0dcdb4af075452,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/08 MACD单因子多头策略.txt,near-duplicate,0.972222,0.888889,false,false
2020年度精选策略/54 中长线买入卖出点选择.txt,中长线买入卖出点选择,https://www.joinquant.com/post/13213,巨亏,1e91221dfb09bf5ff20018845999201cf9f96efc23cb90952d846d915a39ba7d,L-e622d3ba3e,2020年度精选策略/54 中长线买入卖出点选择.txt,1,2020年度精选策略/77 RSRS大盘择时优化.txt,independent,0.105263,0.0,false,false
2020年度精选策略/55 中小板-中证500配对交易.txt,中小板-中证500配对交易,https://www.joinquant.com/post/11764,翼、轸,4afa98007fe1fb1683b5c2d5bf38c96ff151243d09a05e02f97633e2cffac6d3,L-bb8d73f985,2020年度精选策略/13 招行_海天配对策略-改进版.txt,2,2020年度精选策略/13 招行_海天配对策略-改进版.txt,near-duplicate,1.0,1.0,false,true
2020年度精选策略/56 爱神的箭放声大哭.txt,爱神的箭放声大哭,https://www.joinquant.com/post/12114,lx668668,c25e0e461b5403bbea210cfea80a6ce34ef81da0f25d26367bcf8f1043640c94,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/61 向导式策略生成器生成的成长股精选策略.txt,near-duplicate,0.981468,0.925926,false,false
2020年度精选策略/57 黄泽森策略.txt,黄泽森策略,https://www.joinquant.com/post/13974,hzs,0261d3192baab37ba58ac636567b439640b9a90091661a64022201731d19e36d,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/75 财务因子策略.txt,near-duplicate,0.992918,0.925926,false,false
2020年度精选策略/58 MACD金叉买入，死叉卖出.txt,MACD金叉买入，死叉卖出,https://www.joinquant.com/post/15387,市民刘先生2018,92b8927a01dc3b7a550276247baa9cdbb2abec9de8835bbc13ce5d3bd4e68dbc,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/87 选股策略说明——张燕兰 16318320.txt,near-duplicate,0.918846,0.677419,false,false
2020年度精选策略/59 小市值轮动，修改了内容，剔除了停牌股，同时PE要求为正的股票。.txt,小市值轮动，修改了内容，剔除了停牌股，同时PE要求为正的股票。,https://www.joinquant.com/post/13017,开心的叶子,162e656fde49e1373ec57d580f600431e37871b9167394936811a8916c6ae30a,L-92c2d8aeee,2020年度精选策略/59 小市值轮动，修改了内容，剔除了停牌股，同时PE要求为正的股票。.txt,1,2020年度精选策略/25 简单市值轮动策略-学习.txt,independent,0.311429,0.0,false,false
2020年度精选策略/60 投资期末作业.txt,投资期末作业,https://www.joinquant.com/post/13976,这个话,e121a6c1edf3d0fe769d7acd1dfeb4b17d6523195f9963aa63e9c5ded46a827b,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/87 选股策略说明——张燕兰 16318320.txt,near-duplicate,0.954453,0.857143,false,false
2020年度精选策略/61 向导式策略生成器生成的成长股精选策略.txt,向导式策略生成器生成的成长股精选策略,https://www.joinquant.com/post/11372,airsiva,4f6037e29e8c8b343399709a81b0cc06c28301e565c968e8ea565948d28565f3,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/34 成长策略.txt,near-duplicate,0.98727,0.925926,false,false
2020年度精选策略/62 选股策略.txt,选股策略,https://www.joinquant.com/post/13962,ElaineCheung,513caffe5d6f46b6c1528c92eac8b2b65b6a784670fe82f5d7fe3127270001e3,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/87 选股策略说明——张燕兰 16318320.txt,near-duplicate,0.981276,0.925926,false,true
2020年度精选策略/63 向导式.txt,向导式,https://www.joinquant.com/post/11024,哈哈捏,272da21a421d24060fee681a1f5ba03ef65ebdbbeecd303e7fe46663482f03a5,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/70 蓝筹&均线.txt,near-duplicate,0.958953,0.892857,false,false
2020年度精选策略/64 12年年化34%，Sharpe1.2，银行股轮动.txt,12年年化34%，Sharpe1.2，银行股轮动,https://www.joinquant.com/post/14646,Guhhhhaa,cf646cabdd42ef612fd4af9bb05290e56a46b21ba493f49622f467db5f8f1915,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,"2020年度精选策略/80 向导式 价值分析(一),成功避开股灾,大盘震荡跌时小涨.txt",near-duplicate,0.942059,0.793103,false,true
2020年度精选策略/65 8只基金按PE调仓.txt,8只基金按PE调仓,https://www.joinquant.com/post/11700,王麻子,acc74b823fd24ebd32d571785cfc1fff3f9ee0f44aa3841adeb386cc50fc4af7,L-9b26faeb1b,2020年度精选策略/65 8只基金按PE调仓.txt,1,2020年度精选策略/72 基金定投-沪深300-5年回测.txt,independent,0.074667,0.0,false,false
2020年度精选策略/66 高于MA10买入低于MA20卖出回测半年收益率20.4%.txt,高于MA10买入低于MA20卖出回测半年收益率20.4%,https://www.joinquant.com/post/14460,硅谷少年,270ecdb0bead8cea880a6c5e1896b94668ae14b4282cf5be2c756659640cc246,L-8dd293d3e0,2020年度精选策略/66 高于MA10买入低于MA20卖出回测半年收益率20.4%.txt,1,2020年度精选策略/83 沪深300ETF-1060双均线.txt,independent,0.251029,0.0,false,false
2020年度精选策略/67 多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）.txt,多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）,https://www.joinquant.com/post/10730,situchuntian,e670de0a7877a3115f4f04f9ed485d112a01c21109dd8420f9c98c1f08f44e8e,L-ad2279e4c5,2020年度精选策略/67 多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）.txt,1,2020年度精选策略/92 多因子选股策略.txt,independent,0.075648,0.03125,false,false
2020年度精选策略/68 板块轮动不动？.txt,板块轮动不动？,https://www.joinquant.com/post/12307,跟随哔哔做量化,78670f10c215b23436ed2fb3af632598233bfb51d05478beef4368229c76c88d,L-e4afced9cd,2020年度精选策略/68 板块轮动不动？.txt,1,2020年度精选策略/51 HS300--随机森林拐点识别.txt,independent,0.020303,0.0,false,true
2020年度精选策略/69 阻力支撑相对强度（RSRS）指标择时策略.txt,阻力支撑相对强度（RSRS）指标择时策略,https://www.joinquant.com/post/14750,冰_柠檬,d9160a6cbe9f8fb4bf576bc47650db8720eda00f8b7be7a1634c682299037821,L-278f935f36,2020年度精选策略/27 RSRS指标择时（30分钟线）.txt,2,2020年度精选策略/27 RSRS指标择时（30分钟线）.txt,near-duplicate,0.835165,0.5,false,false
