screening_rank,screening_score,lineage_id,lineage_size,strategy_name,item_id,post_title,author,primary_url,source_hash,seed_priority,seed_label,research_queue,next_action,asset_type,frequency,backtest_start,backtest_end,backtest_years,post_time,backtest_to_post_days,post_publication_days,natural_oos_eligible,oos_integrity_grade,annual_return_percent,max_drawdown_percent,sharpe,sortino,turnover_rate_percent,uses_minute_data,uses_auction_data,uses_fundamentals,undated_index_membership_risk,same_day_signal_execution_risk,score_natural_oos,score_history,score_causal_repairability,score_production_data,score_execution_feasibility,score_simplicity,score_lineage_uniqueness,score_risk_adjusted_tiebreaker
11,76.9396,L-e2d9b30bdc,1,行代码8年胜率100%躲过了牛年第一场大跌,2023年度精选策略/17.20行代码8年胜率100%躲过了牛年第一场大跌.txt,20行代码8年胜率100%躲过了牛年第一场大跌,摆摊挣保时,https://www.joinquant.com/post/32112,4f80ec6b4e207dd9cb53baabb5debfd16671229f8b3b92867781e29d79dccd51,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,unclassified,day,2013-01-01,2021-03-04,8.17,2021-03-05 10:21:10,1,1999,true,C,24.847167,13.153571,1.4699515406993,1.8487509982585,0.573512,false,false,false,false,false,27.8585,9.804,8.0,9.0,7.0,7.3333,5.0,2.9438
12,76.6008,L-64efa8bc1a,1,RSRS大盘择时优化,2020年度精选策略/77 RSRS大盘择时优化.txt,RSRS大盘择时优化,flyingluc,https://www.joinquant.com/post/13065,8a2fbecfe0073798a06987278863229e92f9e39efb5ef311e53cc20273ef6eb1,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2010-06-01,2018-05-28,7.989,2018-06-07 11:39:09,10,3001,true,C,18.965113,17.752197,0.95741585258756,1.3487593893792,,false,false,false,false,false,29.6667,9.5868,8.0,9.0,8.0,5.1,5.0,2.2473
13,76.5117,L-c9672b52f5,1,基于大盘PE标准差偏离度的聪明基金定投策略,2025年度精选策略/53.基于大盘PE标准差偏离度的聪明基金定投策略.txt,基于大盘PE标准差偏离度的聪明基金定投策略,逆熵者,https://www.joinquant.com/post/24679,c36134b5d6bfc6da0ec2d80846ecfc1b77d258c071a3e9e909cdb0beaeecbf2b,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,stock-etf-mixed,day,2012-06-01,2019-12-26,7.567,2019-12-27 17:17:33,1,2433,true,C,13.251337,21.003126,0.62969797858226,0.88597456289595,0.125795,false,false,false,false,false,29.9667,9.0804,10.0,9.0,8.0,3.675,5.0,1.7896
14,76.2526,L-9f3dbefea5,1,RSRS择时改进-【成交量加权-钝化-右偏】,2025年度精选策略/67.RSRS择时改进-【成交量加权-钝化-右偏】.txt,RSRS择时改进-【成交量加权-钝化-右偏】,uuyue,https://www.joinquant.com/post/27399,36a0bbb302f7901ca74af5d917b24eaaf1caa6f752bade22c833c089bf7384cf,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2014-01-01,2020-05-13,6.363,2020-05-14 19:34:51,1,2294,true,C,23.259567,14.22977,1.1611795796101,1.5677752598494,0.765687,false,false,false,false,false,29.9667,7.6356,10.0,9.0,8.0,4.0583,5.0,2.592
15,76.1681,L-99a1ac59b1,1,最简强者恒强策略,2023年度精选策略/35.最简强者恒强策略.txt,最简强者恒强策略,囚徒,https://www.joinquant.com/post/33618,9259102084c095b1b8e6bb77d2d53bed4d5f71a72e329749c7f86700b14ade6b,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2011-06-19,2021-06-19,10.001,2021-06-19 23:21:37,0,1893,true,C,27.114695,28.241939,0.89174976567658,1.2961047489299,0.175137,false,false,false,false,false,26.731,12.0,8.0,9.0,7.0,6.675,5.0,1.7621
16,76.0211,L-4743db5f7f,1,【均值回归】基于zscore的均值回归策略（胜率100%）,2020年度精选策略/12 【均值回归】基于zscore的均值回归策略（胜率100%）.txt,【均值回归】基于zscore的均值回归策略（胜率100%）,Rookie888,https://www.joinquant.com/post/13673,f80bee128cb5d78e0125eb333f787d0736453b5a87f3bae3a90995df2bb618b2,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2013-01-01,2018-07-07,5.511,2018-07-08 22:33:07,1,2970,true,C,39.130294,17.046507,1.7563278299485,3.4516554068497,,false,false,false,false,false,29.9667,6.6132,8.0,9.0,8.0,6.3667,5.0,3.0745
17,75.2068,L-d7c811be47,1,沪港两地上市的银行股翻倍策略报告,2020年度精选策略/96 沪港两地上市的银行股翻倍策略报告.txt,沪港两地上市的银行股翻倍策略报告,x483zhan,https://www.joinquant.com/post/11948,1278ece1e68f81f0ffb84e6e129b903cb7fc27f3c2ac901fa4714ea644b1f8aa,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2012-01-01,2018-04-08,6.267,2018-04-09 15:39:11,1,3060,true,C,17.716744,33.933779,0.55209631990075,0.79742916066385,,false,false,false,false,false,29.9667,7.5204,8.0,9.0,7.0,7.525,5.0,1.1947
18,75.0183,L-69beb110c9,1,均值回归策略分享,2020年度精选策略/18 均值回归策略分享.txt,均值回归策略分享,JimStein,https://www.joinquant.com/post/13706,4d54f7ea948bc069c9226f6507167a84dbc6e5db3b11ec75d8d9006e0915c808,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2013-01-01,2018-07-09,5.517,2018-07-11 03:22:04,2,2967,true,C,117.466014,9.428102,4.9599440989499,12.170854499298,,false,false,false,false,false,29.9333,6.6204,8.0,9.0,7.0,4.8417,5.0,4.6229
19,74.784,L-c525da2998,1,沪深300ETF-1060双均线,2020年度精选策略/83 沪深300ETF-1060双均线.txt,沪深300ETF-1060双均线,小雪人,https://www.joinquant.com/post/15265,8d67a7ead17d757ee2b2edd59ace74c29fcfcda0536dc859d1ffb95e905886c3,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2014-06-01,2018-11-13,4.452,2018-11-14 17:59:25,1,2841,true,C,19.860036,21.495594,0.89307295642685,1.1587412813685,,false,false,false,false,false,29.9667,5.3424,8.0,9.0,8.0,7.4417,5.0,2.0332
20,74.4997,L-4734656212,1,KD指标量化交易策略,2020年度精选策略/29 KD指标量化交易策略.txt,KD指标量化交易策略,mxh,https://www.joinquant.com/post/15078,0e9d15a4a6a6c92e71523e2050bbd1b8281ec998bb2dcccfd6185fe8379a3e78,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2016-03-02,2018-10-30,2.661,2018-11-02 09:50:19,3,2853,true,C,83.122681,15.880266,3.2576321909165,6.4416924999959,,false,false,false,false,false,29.9,3.1932,8.0,9.0,8.0,7.0417,5.0,4.3648
21,74.475,L-7945796826,1,人人可躺平16年3400%,2023年度精选策略/19.人人可躺平16年3400%.txt,人人可躺平16年3400%（评论必回复）,逆流的鱼,https://www.joinquant.com/post/33859,9dfebd90b0dcff7b410f3f0adcd7070dd0b6f5bc1544c477b110a1ce156cea7d,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2005-07-01,2021-06-27,15.989,2021-07-15 11:08:25,18,1867,true,C,25.752836,38.659696,1.0084225550847,1.2843213990947,2.097111,false,false,false,false,false,25.8463,12.0,8.0,9.0,6.0,7.1667,5.0,1.462
22,74.2118,L-5aa0a7f899,1,股债波动平衡,2025年度精选策略/7.股债波动平衡.txt,股债波动平衡,囚徒,https://www.joinquant.com/post/28893,163e8e3025b9e97bfbf1ea820c59722333c9d9839b256f48ea6f59815e82087c,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,etf-or-fund,day,2014-06-01,2020-07-31,6.166,2020-08-16 13:19:34,16,2200,true,C,13.886608,8.438224,1.4417718336376,1.8255568944958,0.855763,false,false,false,false,false,29.4667,7.3992,8.0,9.0,7.0,5.2417,5.0,3.1042
23,74.0642,L-f0fe51ca3f,1,红利搬砖，年化29%,2025年度精选策略/4.红利搬砖，年化29%.txt,红利搬砖,Gyron,https://www.joinquant.com/post/27994,86ea4be22f862d35815785f9b717db1664061c5a7acb4eaf89ecdc8925d454de,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2009-05-01,2020-06-01,11.086,2020-06-17 21:29:52,16,2260,true,C,8.064698,29.898981,0.2017567472207,0.27987202419014,0.326635,false,false,true,false,false,29.4667,12.0,8.0,6.0,6.0,6.5917,5.0,1.0058
24,73.9163,L-33271b22a8,1,北上詹姆斯,2025年度精选策略/86.北上詹姆斯.txt,北上詹姆斯,猪头港,https://www.joinquant.com/post/29225,e12bcb2e2b229cc365f3a371de6f6db5e4dc97d622a022abc76a3e97724b5ba6,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2017-06-01,2020-09-03,3.258,2020-09-04 20:52:49,1,2181,true,C,35.233512,10.38938,2.1788971068075,3.4761851159601,1.320738,false,false,false,false,false,29.8517,3.9096,8.0,9.0,8.0,6.3917,5.0,3.7633
25,73.6989,L-f0a0760dcd,1,致敬市场--5 定投ETF之躺平赢,2023年度精选策略/11.致敬市场--5 定投ETF之躺平赢.txt,致敬市场(5)--定投ETF之躺平赢,Gyron,https://www.joinquant.com/post/33683,9f9a84cc133ed7a3f016c926a5073f0262d73e399b5464558301c9119cb94dee,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,stock-etf-mixed,day,2014-01-01,2021-05-01,7.329,2021-06-27 19:45:25,57,1885,true,C,22.943878,30.183246,1.0263506789446,1.3353459252559,0.864246,false,false,false,false,false,24.7434,8.7948,10.0,9.0,7.0,7.3417,5.0,1.819
26,73.1354,L-7c6648e156,1,易方达中小盘（魔改版）,2025年度精选策略/85.易方达中小盘（魔改版）.txt,易方达中小盘（魔改版）,猪头港,https://www.joinquant.com/post/28287,2b560c3908dc04820199d6b33ecfc5698918216864811a38529cf8b0172a4ebc,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,etf-or-fund,day,2016-01-01,2020-07-05,4.509,2020-07-06 23:06:51,1,2241,true,C,31.398402,16.288046,1.3677160398194,1.8923310678246,2.515627,false,false,false,false,false,29.9667,5.4108,8.0,9.0,7.0,6.0417,5.0,2.7162
27,73.1225,L-0cb62d656a,1,三因子策略年化21%简单多因子策略框架,2022年度精选策略/67.三因子策略年化21%简单多因子策略框架.txt,三因子策略_年化21%_简单多因子策略框架,lastlivingsoul,https://www.joinquant.com/post/37051,3dde4e5ea250ad44bcb4c582ddac13ef3f7dda38f2835f107b6d3b169ce02043,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2005-01-05,2022-03-22,17.207,2022-03-25 16:25:07,3,1614,true,C,21.326689,47.53585,0.89835853001135,1.0558152979525,1.35513,false,false,false,false,false,23.5756,12.0,8.0,9.0,8.0,6.55,5.0,0.9969
28,72.7367,L-586d9fef1f,1,布林带策略,2020年度精选策略/45 布林带策略.txt,布林带策略,zimeng08,https://www.joinquant.com/post/13156,0c138309689edd4fa8e25c5a84c40f0f811c6eb5abdcd63dda12b96c0262092b,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2016-06-01,2018-06-01,1.999,2018-06-12 20:50:29,11,2996,true,C,31.572118,7.57971,2.0744502932673,3.6504612012647,,false,false,false,false,false,29.6333,2.3988,8.0,9.0,8.0,6.9333,5.0,3.7713
29,72.6842,L-1032b3d885,2,一个简单而持续稳定的懒人超额收益策略,2023年度精选策略/10.一个简单而持续稳定的懒人超额收益策略.txt,一个简单而持续稳定的懒人超额收益策略,Gyron,https://www.joinquant.com/post/30467,7ad06d3727f5dd8320e6e40801237686c155eb6d9c3794ba186a1535cfa5cd27,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,unclassified,day,2016-01-01,2020-12-01,4.917,2020-12-07 12:34:51,6,2087,true,C,20.284699,31.686886,0.80191022805781,1.1763322647722,0.167072,false,false,false,false,false,28.6556,5.9004,10.0,9.0,7.0,7.0583,3.5355,1.5344
30,72.5933,L-a0c03c8bdd,1,【复现】扩散指标择时,2025年度精选策略/61.【复现】扩散指标择时.txt,【复现】扩散指标择时,Hugo2046,https://www.joinquant.com/post/27636,bf2ba0bf667c90faa7685ec8f0ffa2c150515e935ec4ddf72eda1c12f68054ca,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2014-01-01,2020-04-25,6.313,2020-05-27 16:31:45,32,2281,true,C,21.115886,18.443056,1.0804134300253,1.430583922914,0.654216,false,false,false,false,false,28.9333,7.5756,10.0,9.0,6.0,3.7417,5.0,2.3427
31,72.5523,L-416597dab5,1,布林带1,2020年度精选策略/52 布林带1.txt,布林带1,zimeng08,https://www.joinquant.com/post/13162,fb5dd995a8e4aa26ba4289c85d9bd85c95868b05efc2a717d9c73cfaed1f834f,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2016-06-01,2018-06-01,1.999,2018-06-13 08:16:46,12,2995,true,C,49.190595,14.548878,1.9187795277983,3.2753790188388,,false,false,false,false,false,29.6,2.3988,8.0,9.0,8.0,7.2167,5.0,3.3368
32,72.2213,L-147fec9edd,1,基于动量因子的ETF轮动加上RSRS择时,2025年度精选策略/88.基于动量因子的ETF轮动加上RSRS择时.txt,基于动量因子的ETF轮动加上RSRS择时,慕长风,https://www.joinquant.com/post/26142,e900d4d4445d4cee59f617fc8a58ff922e9c768712f3edf1d6c224ecdaaacfab,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2014-02-18,2020-03-09,6.053,2020-03-10 23:46:39,1,2359,true,C,26.399264,23.054866,1.004926111221,1.3205546136847,6.917725,false,false,false,false,false,29.9667,7.2636,8.0,9.0,6.0,4.9083,5.0,2.0827
33,72.1451,L-601b75a34a,1,北向资金股票轮动-优质策略可直接实盘,2023年度精选策略/20.北向资金股票轮动-优质策略可直接实盘.txt,北向资金股票轮动-优质策略可直接实盘,Funine,https://www.joinquant.com/post/30772,27bd046a489141070f49d767d38ba29d7a34648f385ceb38edf4e699cd00ea35,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,stock-etf-mixed,day,2017-01-01,2020-12-22,3.973,2020-12-23 17:25:07,1,2071,true,C,31.599362,18.053735,1.5193555734737,2.2726769934374,18.102954,false,false,false,false,false,28.647,4.7676,10.0,9.0,7.0,4.9333,5.0,2.7972
34,72.0992,L-6a5521aba7,1,【复现】北向资金交易能力一定强吗,2025年度精选策略/62.【复现】北向资金交易能力一定强吗.txt,【复现】北向资金交易能力一定强吗,Hugo2046,https://www.joinquant.com/post/29573,4e40dae00a8e6a3b0968ad1df01674f7ba57432f9f3d979eb174e084730e5c90,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,unclassified,day,2017-01-01,2020-09-28,3.74,2020-09-28 21:01:11,0,2157,true,C,23.096215,16.699092,1.1902271506627,1.8049681795385,3.901657,false,false,false,false,false,29.6222,4.488,10.0,9.0,6.0,5.4667,5.0,2.5223
35,71.9942,L-7903d65771,1,银行翻倍策略,2020年度精选策略/97 银行翻倍策略.txt, 银行翻倍策略,x483zhan,https://www.joinquant.com/post/11681,832e71a6effaf4438e625f9f7c2ccc324193d5eb65086bfe185f8707ae70f828,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2012-01-01,2017-12-31,5.999,2018-03-28 11:15:13,87,3072,true,C,16.275918,31.99457,0.50022819972293,0.69967802435159,,false,false,false,false,false,27.1,7.1988,8.0,9.0,7.0,7.475,5.0,1.2204
36,71.6297,L-242266fb23,1,稳定高回报周期股策略2-RSRS择时,2025年度精选策略/97.稳定高回报周期股策略2-RSRS择时.txt,稳定高回报周期股策略2-RSRS择时,风轻云淡0769,https://www.joinquant.com/post/29915,e93b754c22b73fb93106d8f82c4c57adae71873714b34a137eb5c0339820bbc6,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2010-01-01,2020-10-13,10.782,2020-10-26 22:48:17,13,2129,true,C,33.181994,26.546968,1.2344031754808,1.8130536795718,1.674185,false,false,true,false,false,28.8822,12.0,8.0,6.0,7.0,2.575,5.0,2.1725
37,71.2885,L-26ebc2db79,1,年到现在90多倍的新策略,2023年度精选策略/89.2019年到现在90多倍的新策略.txt,2019年到现在90多倍的新策略,勤为径也,https://www.joinquant.com/post/34521,149103ade7832b9c328f3570328528e754571c6edb3acbf7e595e1fae0ec1aa5,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,minute,2019-01-01,2021-09-04,2.675,2021-09-06 16:08:27,2,1814,true,C,468.337287,25.100307,9.1088862782104,15.885351988587,23.018454,false,false,false,false,false,25.7992,3.21,10.0,9.0,8.0,6.2833,5.0,3.996
38,71.0942,L-7fb0aad2aa,1,【多因子选股模型框架】(单因子各项指标评分细则),2025年度精选策略/79.【多因子选股模型框架】(单因子各项指标评分细则).txt,【多因子选股模型框架】(单因子各项指标评分细则),酷安克L2,https://www.joinquant.com/post/27018,6e21655c6e779726a2dafd06c24096d36d421a04e28ed9450bb885b87c0585a8,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2010-03-31,2020-03-31,10.001,2020-04-22 22:34:13,22,2316,true,C,6.230805,41.605093,0.091733048591424,0.12022798905866,1.461756,false,false,true,true,false,29.2667,12.0,5.0,6.0,7.0,6.4,5.0,0.4275
39,70.9935,L-bb1d4e0ccb,1,根据北上资金买股票的最佳持股时间探讨,2025年度精选策略/49.根据北上资金买股票的最佳持股时间探讨.txt,根据北上资金买股票的最佳持股时间探讨,见路不走2019,https://www.joinquant.com/post/24681,2343c30cecc89a190ffbc1555f3c9ac2bc46a9c0c68f5271cef3df3bbaaa44d4,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2019-01-01,2019-12-26,0.983,2019-12-27 18:36:00,1,2433,true,C,98.613395,15.799917,2.9041932408026,4.4960821583507,4.251871,false,false,false,false,false,29.9667,1.1796,8.0,9.0,7.0,6.575,5.0,4.2722
40,70.6326,L-8c127b9bd5,1,年化46%的北向资金+20日涨幅的创业板策略,2023年度精选策略/46.年化46%的北向资金+20日涨幅的创业板策略.txt,年化46%的北向资金+20日涨幅的创业板策略,天然15,https://www.joinquant.com/post/33823,50c280efdb329182ea18c32d36f2bad21cbd4518ae5ec392114dbb9d368a1af2,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,stock-etf-mixed,day,2018-01-01,2021-07-11,3.524,2021-07-12 18:55:18,1,1870,true,C,46.225439,13.487455,2.2224712672724,3.3749216966608,2.268485,false,false,false,false,false,26.4458,4.2288,8.0,9.0,8.0,6.275,5.0,3.683
41,70.6096,L-c26667da61,1,机器学习SVM用法示例策略,2020年度精选策略/98 机器学习SVM用法示例策略.txt,机器学习SVM用法示例策略,JoinQuant聚宽-客服小A,https://www.joinquant.com/post/13324,414648a044f8935c91b96491ade86bc87f45b59b24923f8c9e0dc01730224c0c,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,unclassified,day,2015-06-01,2018-06-23,3.061,2018-06-25 00:04:24,2,2983,true,C,16.954847,29.384497,0.4534487520272,0.66911695867388,,false,false,false,false,false,29.9333,3.6732,8.0,9.0,7.0,6.725,5.0,1.2781
42,70.5789,L-0505cd59a4,1,多因子模型（三）-交易回测,2020年度精选策略/41 多因子模型（三）-交易回测.txt,多因子模型（三）-交易回测,颖硕,https://www.joinquant.com/post/14084,ca1111a17e24882ad88de2df17cae444fadf7866348ca942bf6619b78db9f9e5,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2016-07-13,2018-08-01,2.051,2018-08-02 22:21:26,1,2945,true,C,37.892631,12.869576,2.2657394340781,2.9095855040576,,false,false,false,false,false,29.9667,2.4612,8.0,9.0,6.0,6.4,5.0,3.751
43,70.5365,L-034ec459c8,2,【复现】FFScore财务模型,2023年度精选策略/18.【复现】FFScore财务模型.txt,【复现】FFScore财务模型,Hugo2046,https://www.joinquant.com/post/34748,5a132b1120e9d7621254a908acc17e8ce41049f2a459a50d00b3d5981d402029,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2014-01-01,2021-09-22,7.723,2021-09-23 21:03:04,1,1797,true,C,25.358999,52.217562,0.72039144451559,0.8541325229754,2.36281,false,false,false,false,false,25.6463,9.2676,10.0,9.0,8.0,4.3667,3.5355,0.7204
