trade_date,observation_date,score,target_position,signal_transition
2014-03-25,2014-03-24,-0.9988386903859489,0,0
2014-03-26,2014-03-25,-0.993558293029321,0,0
2014-03-27,2014-03-26,-1.0261909428591833,0,0
2014-03-28,2014-03-27,-0.9736650913772186,0,0
2014-03-31,2014-03-28,-0.9509132470882918,0,0
2014-04-01,2014-03-31,-0.9285081798521325,0,0
2014-04-02,2014-04-01,-0.9398245244960503,0,0
2014-04-03,2014-04-02,-0.944106466683709,0,0
2014-04-04,2014-04-03,-0.8851566860657477,0,0
2014-04-08,2014-04-04,-0.9278934642303679,0,0
2014-04-09,2014-04-08,-0.5368642524588383,0,0
2014-04-10,2014-04-09,-0.609110869323231,0,0
2014-04-11,2014-04-10,0.10264614567815936,0,0
2014-04-14,2014-04-11,-0.1295644700915318,0,0
2014-04-15,2014-04-14,-0.247074080711312,0,0
2014-04-16,2014-04-15,-0.3242123295064081,0,0
2014-04-17,2014-04-16,-0.38066030044342236,0,0
2014-04-18,2014-04-17,0.5324113320291582,0,0
2014-04-21,2014-04-18,0.5306417084980652,0,0
2014-04-22,2014-04-21,0.4451168392011413,0,0
2014-04-23,2014-04-22,0.37857596597597487,0,0
2014-04-24,2014-04-23,0.4418274935291353,0,0
2014-04-25,2014-04-24,0.34231176990085377,0,0
2014-04-28,2014-04-25,0.2490116231015385,0,0
2014-04-29,2014-04-28,0.13732039285346948,0,0
2014-04-30,2014-04-29,0.12685074111042152,0,0
2014-05-05,2014-04-30,0.31483381724381637,0,0
2014-05-06,2014-05-05,0.3569993030598833,0,0
2014-05-07,2014-05-06,0.7045105148575809,0,0
2014-05-08,2014-05-07,0.9655081816535201,1,1
2014-05-09,2014-05-08,0.25414313624232215,1,0
2014-05-12,2014-05-09,0.4855264256449971,1,0
2014-05-13,2014-05-12,0.4078681814882597,1,0
2014-05-14,2014-05-13,0.08301991066569286,1,0
2014-05-15,2014-05-14,0.007778868691856428,1,0
2014-05-16,2014-05-15,0.09573944677156924,1,0
2014-05-19,2014-05-16,0.18880976734113203,1,0
2014-05-20,2014-05-19,-0.4029930251270444,1,0
2014-05-21,2014-05-20,-0.321382517469228,1,0
2014-05-22,2014-05-21,-0.36617773101074674,1,0
2014-05-23,2014-05-22,-0.4200521961907103,1,0
2014-05-26,2014-05-23,-0.6299858423912934,1,0
2014-05-27,2014-05-26,-0.6500689483035573,1,0
2014-05-28,2014-05-27,-0.6638947035951439,1,0
2014-05-29,2014-05-28,-0.5661157009691471,1,0
2014-05-30,2014-05-29,-0.5519209293690945,1,0
2014-06-03,2014-05-30,-0.5600786677858677,1,0
2014-06-04,2014-06-03,-0.5891069401407696,1,0
2014-06-05,2014-06-04,-0.5589093330801811,1,0
2014-06-06,2014-06-05,-0.634983967091044,1,0
2014-06-09,2014-06-06,-0.7733036594933185,1,0
2014-06-10,2014-06-09,-0.7838056161311925,1,0
2014-06-11,2014-06-10,-0.7211994099622896,1,0
2014-06-12,2014-06-11,-0.8948378735637268,0,-1
2014-06-13,2014-06-12,-0.9505809248919722,0,0
2014-06-16,2014-06-13,-0.6637855776387583,0,0
2014-06-17,2014-06-16,-0.621588123348489,0,0
2014-06-18,2014-06-17,-0.4405230906520078,0,0
2014-06-19,2014-06-18,-0.4272368470986241,0,0
2014-06-20,2014-06-19,-0.7907973953067906,0,0
2014-06-23,2014-06-20,-0.6155488370179527,0,0
2014-06-24,2014-06-23,-0.5293043937485454,0,0
2014-06-25,2014-06-24,-0.44195541286693174,0,0
2014-06-26,2014-06-25,-0.36989525194394884,0,0
2014-06-27,2014-06-26,-0.3320920210301562,0,0
2014-06-30,2014-06-27,-0.32175885767802265,0,0
2014-07-01,2014-06-30,-0.26908224884186954,0,0
2014-07-02,2014-07-01,-0.3007609352651187,0,0
2014-07-03,2014-07-02,-0.3160888836548898,0,0
2014-07-04,2014-07-03,-0.20749956792352883,0,0
2014-07-07,2014-07-04,-0.26960101353035637,0,0
2014-07-08,2014-07-07,-0.29782810613939054,0,0
2014-07-09,2014-07-08,-0.3419575810858696,0,0
2014-07-10,2014-07-09,-0.3725211116475709,0,0
2014-07-11,2014-07-10,-0.4881834518830377,0,0
2014-07-14,2014-07-11,-0.513548400140999,0,0
2014-07-15,2014-07-14,-0.48021762167982474,0,0
2014-07-16,2014-07-15,0.33403204481923937,0,0
2014-07-17,2014-07-16,0.20063164346399956,0,0
2014-07-18,2014-07-17,0.04470594920391878,0,0
2014-07-21,2014-07-18,-0.32287081364438014,0,0
2014-07-22,2014-07-21,-0.6000138011353305,0,0
2014-07-23,2014-07-22,-0.3589095029067573,0,0
2014-07-24,2014-07-23,0.023741563098398994,0,0
2014-07-25,2014-07-24,2.6322549053368443,1,1
2014-07-28,2014-07-25,1.7206841619342788,1,0
2014-07-29,2014-07-28,4.19608375047125,1,0
2014-07-30,2014-07-29,2.5598462529465973,1,0
2014-07-31,2014-07-30,1.9783092439235421,1,0
2014-08-01,2014-07-31,1.8826466467274858,1,0
2014-08-04,2014-08-01,1.924896194818625,1,0
2014-08-05,2014-08-04,2.025003153282935,1,0
2014-08-06,2014-08-05,1.755075801505793,1,0
2014-08-07,2014-08-06,1.7169208776969787,1,0
2014-08-08,2014-08-07,1.7635842074800254,1,0
2014-08-11,2014-08-08,1.5290767846871636,1,0
2014-08-12,2014-08-11,1.3441395683934187,1,0
2014-08-13,2014-08-12,1.0925886046152915,1,0
2014-08-14,2014-08-13,1.0687812019793188,1,0
2014-08-15,2014-08-14,0.7918392723720762,1,0
2014-08-18,2014-08-15,0.7500259380739237,1,0
2014-08-19,2014-08-18,0.13469244697066954,1,0
2014-08-20,2014-08-19,-0.2637047401969545,1,0
2014-08-21,2014-08-20,-1.0988995634417957,0,-1
2014-08-22,2014-08-21,-0.6414240873489543,0,0
2014-08-25,2014-08-22,-0.7734271751910591,0,0
2014-08-26,2014-08-25,-0.8000446182235784,0,0
2014-08-27,2014-08-26,-0.7611859106421842,0,0
2014-08-28,2014-08-27,-0.695771762927559,0,0
2014-08-29,2014-08-28,-0.6320594517293456,0,0
2014-09-01,2014-08-29,-0.5929884132830309,0,0
2014-09-02,2014-09-01,-0.5890109935502033,0,0
2014-09-03,2014-09-02,-0.19414324377613396,0,0
2014-09-04,2014-09-03,0.006920441104520756,0,0
2014-09-05,2014-09-04,0.2269894204710783,0,0
2014-09-09,2014-09-05,0.3862463655890737,0,0
2014-09-10,2014-09-09,0.40039564579037756,0,0
2014-09-11,2014-09-10,0.32393166232991494,0,0
2014-09-12,2014-09-11,0.7780105298270421,0,0
2014-09-15,2014-09-12,0.7740763966714211,0,0
2014-09-16,2014-09-15,0.6978654622372398,0,0
2014-09-17,2014-09-16,0.7167049613954353,0,0
2014-09-18,2014-09-17,0.7682793163042081,0,0
2014-09-19,2014-09-18,0.6739225840878597,0,0
2014-09-22,2014-09-19,0.6611544512985948,0,0
2014-09-23,2014-09-22,0.6205924213453615,0,0
2014-09-24,2014-09-23,0.3634357924425253,0,0
2014-09-25,2014-09-24,0.061575739713798074,0,0
2014-09-26,2014-09-25,-0.14311973111915877,0,0
2014-09-29,2014-09-26,-0.5733946474108548,0,0
2014-09-30,2014-09-29,-0.6589417615474905,0,0
2014-10-08,2014-09-30,-0.7439630806631647,0,0
2014-10-09,2014-10-08,-0.7073534900794383,0,0
2014-10-10,2014-10-09,-0.6155663910842252,0,0
2014-10-13,2014-10-10,-0.5361700601965583,0,0
2014-10-14,2014-10-13,-0.5117499638982463,0,0
2014-10-15,2014-10-14,-0.4952245619280463,0,0
2014-10-16,2014-10-15,-0.4742215178589427,0,0
2014-10-17,2014-10-16,-0.37538001021489636,0,0
2014-10-20,2014-10-17,-0.09120107480846092,0,0
2014-10-21,2014-10-20,-0.3747918992812939,0,0
2014-10-22,2014-10-21,-0.5439327677333728,0,0
2014-10-23,2014-10-22,-0.5966463885359995,0,0
2014-10-24,2014-10-23,-0.4679086599438875,0,0
2014-10-27,2014-10-24,-0.48842313773003654,0,0
2014-10-28,2014-10-27,0.8544637184644974,1,1
2014-10-29,2014-10-28,0.4012264365753167,1,0
2014-10-30,2014-10-29,0.2318861713631895,1,0
2014-10-31,2014-10-30,0.3149500460850532,1,0
2014-11-03,2014-10-31,1.117489629688524,1,0
2014-11-04,2014-11-03,0.6083316566113273,1,0
2014-11-05,2014-11-04,0.3381704542389259,1,0
2014-11-06,2014-11-05,0.23731162722607527,1,0
2014-11-07,2014-11-06,0.23505383843370622,1,0
2014-11-10,2014-11-07,0.5456233951253194,1,0
2014-11-11,2014-11-10,0.9600564124745797,1,0
2014-11-12,2014-11-11,1.9472649441808332,1,0
2014-11-13,2014-11-12,2.2469998751497293,1,0
2014-11-14,2014-11-13,1.9106125745278306,1,0
2014-11-17,2014-11-14,1.5815550210906504,1,0
2014-11-18,2014-11-17,1.585542838290988,1,0
2014-11-19,2014-11-18,1.5364117822716705,1,0
2014-11-20,2014-11-19,1.3164719886180258,1,0
2014-11-21,2014-11-20,1.0497046181253422,1,0
2014-11-24,2014-11-21,1.2542878962682233,1,0
2014-11-25,2014-11-24,2.2650855924594637,1,0
2014-11-26,2014-11-25,1.6854167182345707,1,0
2014-11-27,2014-11-26,1.1905583121890033,1,0
2014-11-28,2014-11-27,0.8565064844343753,1,0
2014-12-01,2014-11-28,1.1998312183596234,1,0
2014-12-02,2014-12-01,0.9748573593579491,1,0
2014-12-03,2014-12-02,1.8316619794812479,1,0
2014-12-04,2014-12-03,2.2737501150556714,1,0
2014-12-05,2014-12-04,2.5757487187823243,1,0
2014-12-08,2014-12-05,3.3069604297297843,1,0
2014-12-09,2014-12-08,3.555828820547063,1,0
2014-12-10,2014-12-09,4.610692529569304,1,0
2014-12-11,2014-12-10,4.291918195372948,1,0
2014-12-12,2014-12-11,3.4576747571501,1,0
2014-12-15,2014-12-12,2.859931230038498,1,0
2014-12-16,2014-12-15,2.4776862618765696,1,0
2014-12-17,2014-12-16,2.0485133867391587,1,0
2014-12-18,2014-12-17,1.5884542441938563,1,0
2014-12-19,2014-12-18,1.1716719774257294,1,0
2014-12-22,2014-12-19,0.9336017628740958,1,0
2014-12-23,2014-12-22,0.5717495249981963,1,0
2014-12-24,2014-12-23,0.32797233095115375,1,0
2014-12-25,2014-12-24,0.06666429316223459,1,0
2014-12-26,2014-12-25,-0.2918814638853965,1,0
2014-12-29,2014-12-26,-0.4307662859268837,1,0
2014-12-30,2014-12-29,-0.5726992852438225,1,0
2014-12-31,2014-12-30,-0.677583456720248,1,0
2015-01-05,2014-12-31,-0.6576698199370321,1,0
2015-01-06,2015-01-05,-0.48562689132704534,1,0
2015-01-07,2015-01-06,0.2972322590933121,1,0
2015-01-08,2015-01-07,0.5121984147146077,1,0
2015-01-09,2015-01-08,0.5205547628849702,1,0
2015-01-12,2015-01-09,0.5729857019576073,1,0
2015-01-13,2015-01-12,0.47152465672616306,1,0
2015-01-14,2015-01-13,0.3558485060883991,1,0
2015-01-15,2015-01-14,0.26334956192975284,1,0
2015-01-16,2015-01-15,0.18925058442476222,1,0
2015-01-19,2015-01-16,0.08643234269274395,1,0
2015-01-20,2015-01-19,-0.07535506359971401,1,0
2015-01-21,2015-01-20,-0.04396430361993445,1,0
2015-01-22,2015-01-21,0.020270930139960504,1,0
2015-01-23,2015-01-22,-0.18657030007742034,1,0
2015-01-26,2015-01-23,-0.24614551756770311,1,0
2015-01-27,2015-01-26,-0.2919574173357039,1,0
2015-01-28,2015-01-27,-0.41211701944815937,1,0
2015-01-29,2015-01-28,-0.4525117959125423,1,0
2015-01-30,2015-01-29,-0.45383113159470684,1,0
2015-02-02,2015-01-30,-0.48348246878751533,1,0
2015-02-03,2015-02-02,-0.27372538647753575,1,0
2015-02-04,2015-02-03,-0.26555467479227185,1,0
2015-02-05,2015-02-04,-0.48297118600898625,1,0
2015-02-06,2015-02-05,-0.517067617395793,1,0
2015-02-09,2015-02-06,-0.3816284469802055,1,0
2015-02-10,2015-02-09,-0.27478944203881195,1,0
2015-02-11,2015-02-10,-0.26303246258508994,1,0
2015-02-12,2015-02-11,-0.22182307071417265,1,0
2015-02-13,2015-02-12,0.1205957441307188,1,0
2015-02-16,2015-02-13,0.13053958805679144,1,0
2015-02-17,2015-02-16,0.22895620947715448,1,0
2015-02-25,2015-02-17,0.1574176866074419,1,0
2015-02-26,2015-02-25,0.008000006030134376,1,0
2015-02-27,2015-02-26,0.18318924667831546,1,0
2015-03-02,2015-02-27,-0.31443107231435674,1,0
2015-03-03,2015-03-02,-0.3950518880319381,1,0
2015-03-04,2015-03-03,-0.3009187930455255,1,0
2015-03-05,2015-03-04,-0.32938787731965,1,0
2015-03-06,2015-03-05,-0.4012019929238241,1,0
2015-03-09,2015-03-06,-0.4043386436608651,1,0
2015-03-10,2015-03-09,-0.4408332433886069,1,0
2015-03-11,2015-03-10,-0.3201225287534415,1,0
2015-03-12,2015-03-11,-0.3134234142959613,1,0
2015-03-13,2015-03-12,-0.31089079823126886,1,0
2015-03-16,2015-03-13,-0.3769814947480626,1,0
2015-03-17,2015-03-16,-0.0828952737740047,1,0
2015-03-18,2015-03-17,-0.04982770868377156,1,0
2015-03-19,2015-03-18,0.4512764923974495,1,0
2015-03-20,2015-03-19,0.3474307363201698,1,0
2015-03-23,2015-03-20,0.5191215675636134,1,0
2015-03-24,2015-03-23,0.44712412200444823,1,0
2015-03-25,2015-03-24,0.7970166953290596,1,0
2015-03-26,2015-03-25,0.7311508802099501,1,0
2015-03-27,2015-03-26,0.7688683117956815,1,0
2015-03-30,2015-03-27,0.744587315308566,1,0
2015-03-31,2015-03-30,0.8061011805568987,1,0
2015-04-01,2015-03-31,0.9515315531545974,1,0
2015-04-02,2015-04-01,0.9041314486257832,1,0
2015-04-03,2015-04-02,1.1911832574415009,1,0
2015-04-07,2015-04-03,1.0705833796647206,1,0
2015-04-08,2015-04-07,0.8605135259585716,1,0
2015-04-09,2015-04-08,0.9037704104369052,1,0
2015-04-10,2015-04-09,0.9397036768546121,1,0
2015-04-13,2015-04-10,1.0936957159533727,1,0
2015-04-14,2015-04-13,0.7437316264482716,1,0
2015-04-15,2015-04-14,0.6966405208583775,1,0
2015-04-16,2015-04-15,0.5777386917586252,1,0
2015-04-17,2015-04-16,0.7975453497760061,1,0
2015-04-20,2015-04-17,0.49814852620841554,1,0
2015-04-21,2015-04-20,0.8791327719232879,1,0
2015-04-22,2015-04-21,0.7931930952092754,1,0
2015-04-23,2015-04-22,0.7491416000004509,1,0
2015-04-24,2015-04-23,0.532946227120124,1,0
2015-04-27,2015-04-24,0.5270544490323777,1,0
2015-04-28,2015-04-27,0.47056696708053775,1,0
2015-04-29,2015-04-28,0.5291745549479809,1,0
2015-04-30,2015-04-29,0.4655542371396915,1,0
2015-05-04,2015-04-30,0.2894088584493921,1,0
2015-05-05,2015-05-04,0.12352455495078694,1,0
2015-05-06,2015-05-05,0.07269275640491511,1,0
2015-05-07,2015-05-06,-0.02273411997886946,1,0
2015-05-08,2015-05-07,-0.05795555657003751,1,0
2015-05-11,2015-05-08,-0.25773875509101374,1,0
2015-05-12,2015-05-11,-0.4438716256490847,1,0
2015-05-13,2015-05-12,-0.6745423017932127,1,0
2015-05-14,2015-05-13,-0.6519323831526389,1,0
2015-05-15,2015-05-14,-0.7606874531255964,1,0
2015-05-18,2015-05-15,-0.603504608926247,1,0
2015-05-19,2015-05-18,-0.5842513196497755,1,0
2015-05-20,2015-05-19,-0.6154786544827133,1,0
2015-05-21,2015-05-20,-0.582267331537385,1,0
2015-05-22,2015-05-21,-0.5762959360110969,1,0
2015-05-25,2015-05-22,-0.49415008049753983,1,0
2015-05-26,2015-05-25,-0.06257203859563339,1,0
2015-05-27,2015-05-26,0.2468973760997477,1,0
2015-05-28,2015-05-27,0.25046139448796084,1,0
2015-05-29,2015-05-28,0.5672449360903038,1,0
2015-06-01,2015-05-29,0.6123228917634674,1,0
2015-06-02,2015-06-01,0.8250637288737352,1,0
2015-06-03,2015-06-02,0.5650098764461446,1,0
2015-06-04,2015-06-03,0.4236590029219141,1,0
2015-06-05,2015-06-04,0.5024162256899708,1,0
2015-06-08,2015-06-05,0.4510668492405329,1,0
2015-06-09,2015-06-08,0.3283243020653994,1,0
2015-06-10,2015-06-09,0.07081966208283558,1,0
2015-06-11,2015-06-10,-0.08221118779165748,1,0
2015-06-12,2015-06-11,-0.41643119852967875,1,0
2015-06-15,2015-06-12,-0.6057141610528664,1,0
2015-06-16,2015-06-15,-0.7256153807960694,1,0
2015-06-17,2015-06-16,-0.8508426730180548,0,-1
2015-06-18,2015-06-17,-0.9939067364779699,0,0
2015-06-19,2015-06-18,-1.0110349503605272,0,0
2015-06-23,2015-06-19,-1.0018929916172408,0,0
2015-06-24,2015-06-23,-0.9842435229627032,0,0
2015-06-25,2015-06-24,-0.8214594007425303,0,0
2015-06-26,2015-06-25,-0.8222474214513442,0,0
2015-06-29,2015-06-26,-0.8605130296639387,0,0
2015-06-30,2015-06-29,-0.9022644499159199,0,0
2015-07-01,2015-06-30,-0.9259462129191082,0,0
2015-07-02,2015-07-01,-0.876001035681916,0,0
2015-07-03,2015-07-02,-0.7960825124030441,0,0
2015-07-06,2015-07-03,-0.7596215130192402,0,0
2015-07-07,2015-07-06,-0.7220120763846939,0,0
2015-07-08,2015-07-07,-0.5241404815939507,0,0
2015-07-09,2015-07-08,-0.2332687661318315,0,0
2015-07-10,2015-07-09,-0.14920053295953753,0,0
2015-07-13,2015-07-10,-0.07016872997538591,0,0
2015-07-14,2015-07-13,-0.0071887732644976155,0,0
2015-07-15,2015-07-14,0.04149073247543421,0,0
2015-07-16,2015-07-15,0.16157910480854745,0,0
2015-07-17,2015-07-16,0.1812893570532418,0,0
2015-07-20,2015-07-17,0.10562267302030817,0,0
2015-07-21,2015-07-20,0.39834111511339476,0,0
2015-07-22,2015-07-21,0.39226773348525673,0,0
2015-07-23,2015-07-22,-0.07527144119028596,0,0
2015-07-24,2015-07-23,-0.3390129708816505,0,0
2015-07-27,2015-07-24,-0.5742066811277492,0,0
2015-07-28,2015-07-27,-0.7528792981643067,0,0
2015-07-29,2015-07-28,-0.7907931011529032,0,0
2015-07-30,2015-07-29,-0.7467134841303069,0,0
2015-07-31,2015-07-30,-0.7345900830587085,0,0
2015-08-03,2015-07-31,-0.6987168545218057,0,0
2015-08-04,2015-08-03,-0.8533450058420217,0,0
2015-08-05,2015-08-04,-0.45733041062106505,0,0
2015-08-06,2015-08-05,-0.3544104750487016,0,0
2015-08-07,2015-08-06,-0.40423676802692554,0,0
2015-08-10,2015-08-07,-0.45821851031391875,0,0
2015-08-11,2015-08-10,-0.4518828048647216,0,0
2015-08-12,2015-08-11,-0.49550468002618564,0,0
2015-08-13,2015-08-12,-0.5717303246271862,0,0
2015-08-14,2015-08-13,-0.5854300023120734,0,0
2015-08-17,2015-08-14,-0.6439420190580581,0,0
2015-08-18,2015-08-17,-0.6442996482867185,0,0
2015-08-19,2015-08-18,-0.6866063038526833,0,0
2015-08-20,2015-08-19,-0.7198921740998379,0,0
2015-08-21,2015-08-20,-0.8821251337032692,0,0
2015-08-24,2015-08-21,-0.7442954038967284,0,0
2015-08-25,2015-08-24,-0.5537342167543383,0,0
2015-08-26,2015-08-25,-0.25459805923938367,0,0
2015-08-27,2015-08-26,-0.26404063312699116,0,0
2015-08-28,2015-08-27,-0.18016067884103001,0,0
2015-08-31,2015-08-28,-0.11119375464548942,0,0
2015-09-01,2015-08-31,-0.07471959170697617,0,0
2015-09-02,2015-09-01,-0.050593955750363684,0,0
2015-09-07,2015-09-02,-0.006890851318191713,0,0
2015-09-08,2015-09-07,-0.046327620132958595,0,0
2015-09-09,2015-09-08,0.03602289367040951,0,0
2015-09-10,2015-09-09,0.15057977974450812,0,0
2015-09-11,2015-09-10,0.2090968327960497,0,0
2015-09-14,2015-09-11,0.44682994860498315,0,0
2015-09-15,2015-09-14,0.8565847698145159,1,1
2015-09-16,2015-09-15,0.2891471251264489,1,0
2015-09-17,2015-09-16,-0.14815508822372137,1,0
2015-09-18,2015-09-17,-0.2834801755595134,1,0
2015-09-21,2015-09-18,-0.7980498017527402,1,0
2015-09-22,2015-09-21,-0.9099868188589911,0,-1
2015-09-23,2015-09-22,-0.9516180623831823,0,0
2015-09-24,2015-09-23,-0.749433650159897,0,0
2015-09-25,2015-09-24,-0.33931708758202567,0,0
2015-09-28,2015-09-25,-0.33364957650318616,0,0
2015-09-29,2015-09-28,-0.3478658258801657,0,0
2015-09-30,2015-09-29,-0.4107452037334767,0,0
2015-10-08,2015-09-30,-0.43485709497648667,0,0
2015-10-09,2015-10-08,-0.506211771270457,0,0
2015-10-12,2015-10-09,-0.5244419239941762,0,0
2015-10-13,2015-10-12,-0.3939935277167793,0,0
2015-10-14,2015-10-13,-0.4546511596323391,0,0
2015-10-15,2015-10-14,-0.47390509341142073,0,0
2015-10-16,2015-10-15,-0.2093287303778719,0,0
2015-10-19,2015-10-16,-0.2005815586521761,0,0
2015-10-20,2015-10-19,0.7240854805548691,0,0
2015-10-21,2015-10-20,0.940953212058087,1,1
2015-10-22,2015-10-21,1.3099587081513506,1,0
2015-10-23,2015-10-22,1.4504986974844174,1,0
2015-10-26,2015-10-23,1.2539034616196612,1,0
2015-10-27,2015-10-26,0.9920522299868547,1,0
2015-10-28,2015-10-27,0.9712157373609913,1,0
2015-10-29,2015-10-28,0.9875535386138429,1,0
2015-10-30,2015-10-29,0.7960633160888516,1,0
2015-11-02,2015-10-30,0.4895968480755929,1,0
2015-11-03,2015-11-02,0.0561583802397656,1,0
2015-11-04,2015-11-03,-0.32008136406123594,1,0
2015-11-05,2015-11-04,-0.4791079307901636,1,0
2015-11-06,2015-11-05,1.5968226501515674,1,0
2015-11-09,2015-11-06,1.3077785034050815,1,0
2015-11-10,2015-11-09,0.9530876960001424,1,0
2015-11-11,2015-11-10,0.7197317263006989,1,0
2015-11-12,2015-11-11,0.46791471989250966,1,0
2015-11-13,2015-11-12,0.3560642433875203,1,0
2015-11-16,2015-11-13,0.24857639997024916,1,0
2015-11-17,2015-11-16,0.7009210660691012,1,0
2015-11-18,2015-11-17,0.7073023390990019,1,0
2015-11-19,2015-11-18,0.5674357880176923,1,0
2015-11-20,2015-11-19,0.43710364079866215,1,0
2015-11-23,2015-11-20,0.3841796226411683,1,0
2015-11-24,2015-11-23,0.2677803452380098,1,0
2015-11-25,2015-11-24,0.0868899383400221,1,0
2015-11-26,2015-11-25,-0.08792173839876317,1,0
2015-11-27,2015-11-26,-0.3726629751958908,1,0
2015-11-30,2015-11-27,-0.9025593510582426,0,-1
2015-12-01,2015-11-30,-0.8175964888332474,0,0
2015-12-02,2015-12-01,-0.5842798845047311,0,0
2015-12-03,2015-12-02,-0.6697431828224119,0,0
2015-12-04,2015-12-03,-0.7780352916578817,0,0
2015-12-07,2015-12-04,-0.8189518888595768,0,0
2015-12-08,2015-12-07,-0.7932101471009879,0,0
2015-12-09,2015-12-08,-0.7684836748828721,0,0
2015-12-10,2015-12-09,-0.7172527975740742,0,0
2015-12-11,2015-12-10,-0.692343209631971,0,0
2015-12-14,2015-12-11,-0.7474985005436724,0,0
2015-12-15,2015-12-14,-0.7485968926015948,0,0
2015-12-16,2015-12-15,-0.7320319754656713,0,0
2015-12-17,2015-12-16,-0.6891703754049818,0,0
2015-12-18,2015-12-17,-0.6722976652003138,0,0
2015-12-21,2015-12-18,-0.6705573259706378,0,0
2015-12-22,2015-12-21,-0.5073995411458663,0,0
2015-12-23,2015-12-22,-0.49246754310683866,0,0
2015-12-24,2015-12-23,-0.0917664151625325,0,0
2015-12-25,2015-12-24,0.13873390705106603,0,0
2015-12-28,2015-12-25,0.022150947622598664,0,0
2015-12-29,2015-12-28,0.5795352643788422,0,0
2015-12-30,2015-12-29,0.5718201859063193,0,0
2015-12-31,2015-12-30,0.5315193399095838,0,0
2016-01-04,2015-12-31,0.4592209770737813,0,0
2016-01-05,2016-01-04,-0.43537894876974753,0,0
2016-01-06,2016-01-05,-0.4332104231443568,0,0
2016-01-07,2016-01-06,-0.30755795592784724,0,0
2016-01-08,2016-01-07,-0.391376707786937,0,0
2016-01-11,2016-01-08,-0.3537588252427118,0,0
2016-01-12,2016-01-11,-0.22797854740899565,0,0
2016-01-13,2016-01-12,0.005225623231093421,0,0
2016-01-14,2016-01-13,0.12922720319144998,0,0
2016-01-15,2016-01-14,0.17019425290571485,0,0
2016-01-18,2016-01-15,0.17027661335131006,0,0
2016-01-19,2016-01-18,0.29676666020478587,0,0
2016-01-20,2016-01-19,0.363763363780969,0,0
2016-01-21,2016-01-20,0.4347053797714689,0,0
2016-01-22,2016-01-21,0.587859770781622,0,0
2016-01-25,2016-01-22,0.5290269084536907,0,0
2016-01-26,2016-01-25,0.7372160981769375,0,0
2016-01-27,2016-01-26,0.9051978137554724,1,1
2016-01-28,2016-01-27,1.4673092093286744,1,0
2016-01-29,2016-01-28,0.9390140930128472,1,0
